iter	score	return_pct	win_rate	max_dd	cal_error	trades	closed	confidence	train_window	retrain_every	sl	tp	max_pos	logistic_C	kept	runtime_s
1	0.1456	-21.05	38.6	8.02	0.362	118	57	0.6	150	10	0.05	0.08	0.1	5.0	YES	18
2	0.4153	7.43	47.1	8.41	0.244	42	17	0.8	300	30	0.1	0.15	0.1	0.5	YES	13
3	0.4643	15.12	47.8	8.37	0.317	51	23	0.7	150	14	0.07	0.12	0.2	0.1	YES	10
4	0.2955	14.10	37.5	8.14	1.000	69	32	0.7	150	30	0.05	0.1	0.1	0.05	no	10
5	0.2611	-5.24	43.9	10.07	0.406	90	41	0.65	300	7	0.05	0.1	0.2	10.0	no	12
6	0.1046	-9.03	35.1	8.12	1.000	122	57	0.6	200	30	0.03	0.06	0.15	5.0	no	12
7	0.3427	2.48	45.6	10.42	0.315	122	57	0.55	200	10	0.05	0.08	0.2	10.0	no	14
8	0.4816	20.67	48.6	9.02	0.438	77	35	0.75	150	30	0.05	0.08	0.1	10.0	YES	11
9	0.3810	2.12	40.0	8.56	0.109	98	45	0.6	300	21	0.03	0.06	0.15	0.001	no	12
10	0.3360	0.54	41.0	9.52	0.247	86	39	0.65	100	21	0.05	0.1	0.1	0.05	no	13
11	0.4484	12.38	45.9	8.59	0.255	79	37	0.55	150	21	0.05	0.1	0.2	0.1	no	12
12	0.1932	-20.32	57.1	8.18	0.378	64	28	0.65	300	7	0.05	0.08	0.2	0.05	no	10
13	0.3338	3.01	40.5	8.87	0.375	92	42	0.55	100	7	0.05	0.08	0.15	5.0	no	11
14	0.4832	9.56	56.4	5.74	0.206	78	39	0.7	150	10	0.1	0.15	0.15	0.05	YES	18
15	0.3605	-0.35	52.5	8.15	0.284	88	40	0.65	100	14	0.05	0.08	0.2	0.1	no	12
16	0.4588	15.31	44.2	8.02	0.320	93	43	0.55	100	14	0.05	0.08	0.15	0.5	no	13
17	0.4740	15.06	45.2	8.49	0.229	67	31	0.7	300	21	0.05	0.1	0.2	1.0	no	12
18	0.2974	-1.30	42.4	8.45	0.424	74	33	0.55	200	21	0.07	0.12	0.1	0.05	no	15
19	0.2594	-6.72	43.3	8.47	0.408	128	60	0.8	200	7	0.05	0.1	0.1	0.1	no	26
20	0.4341	13.17	46.7	9.07	0.350	68	30	0.65	300	7	0.07	0.12	0.15	5.0	no	13
